"NA.","X2004","NA..1","NA..2","NA..3"
"Afghanistan",2.9,NA,NA,NA
"Albania",3.02,NA,NA,NA
"Algeria",2.3,NA,NA,NA
"Angola",1.7,NA,NA,NA
"Anguilla",2.5,NA,NA,NA
"Antigua and Barbuda",0.7,NA,NA,NA
"Argentina",3.4,NA,NA,NA
"Armenia",2.4,NA,NA,NA
"Australia",0.8,NA,NA,NA
"Austria",1,NA,NA,NA
"Bahamas",1.6,NA,NA,NA
"Bahrain",1.4,NA,NA,NA
"Bangladesh",1,NA,NA,NA
"Barbados",0.86,NA,NA,NA
"Belarus",2.7,NA,NA,NA
"Belgium",1.1,NA,NA,NA
"Belize",0.6,NA,NA,NA
"Benin",0.8,NA,NA,NA
"Bermuda",0.2,NA,NA,NA
"Bhutan",1.4,NA,NA,NA
"Bolivia",4.7,NA,NA,NA
"Bosnia and Herzegovina",4.8,NA,NA,NA
"Botswana",0.5,NA,NA,NA
"Brazil",2.8,NA,NA,NA
"Brunei",4.8,NA,NA,NA
"Bulgaria",4.4,NA,NA,NA
"Burkina Faso",0.7,NA,NA,NA
"Burundi",1,NA,NA,NA
"Cambodia",2.3,NA,NA,NA
"Cameroon",1.5,NA,NA,NA
"Canada",2.1,NA,NA,NA
"Cape Verde",2.8,NA,NA,NA
"Cayman Islands",0.9,NA,NA,NA
"Central African Rep.",4.1,NA,NA,NA
"Chile",3.4,NA,NA,NA
"China",1.03,NA,NA,NA
"Colombia",2.3,NA,NA,NA
"Congo, Dem. Rep.",0.75,NA,NA,NA
"Cook Islands",1.3,NA,NA,NA
"Costa Rica",2.3,NA,NA,NA
"Cote D'Ivoire",1.8,NA,NA,NA
"Croatia",3.5,NA,NA,NA
"Cuba",1.4,NA,NA,NA
"Cyprus",1.14,NA,NA,NA
"Czech Rep.",2.5,NA,NA,NA
"Denmark",0.8,NA,NA,NA
"Djibouti",0.9,NA,NA,NA
"Dominica",2,NA,NA,NA
"Dominican Rep.",4.4,NA,NA,NA
"Ecuador",3,NA,NA,NA
"Egypt",1.18,NA,NA,NA
"El Salvador",1.4,NA,NA,NA
"Estonia",2.7,NA,NA,NA
"Ethiopia",1.55,NA,NA,NA
"Fiji",1.5,NA,NA,NA
"Finland",1.2,NA,NA,NA
"France",1.2,NA,NA,NA
"French Polynesia",3.2,NA,NA,NA
"Gabon",4.4,NA,NA,NA
"Gambia",2.3,NA,NA,NA
"Georgia",2.4,NA,NA,NA
"Germany",0.7,NA,NA,NA
"Ghana",0.4,NA,NA,NA
"Gibraltar",1.6,NA,NA,NA
"Greece",2.2,NA,NA,NA
"Grenada",2.2,NA,NA,NA
"Guatemala",5.2,NA,NA,NA
"Guinea-Bissau",0.5,NA,NA,NA
"Guyana",1.3,NA,NA,NA
"Haiti",0.65,NA,NA,NA
"Honduras",3.7,NA,NA,NA
"Hong Kong, China",0.8,NA,NA,NA
"Hungary",3.3,NA,NA,NA
"Iceland",1.4,NA,NA,NA
"India",3.94,NA,NA,NA
"Indonesia",2.2,NA,NA,NA
"Iran",1.15,NA,NA,NA
"Iraq",1.7,NA,NA,NA
"Ireland",1.1,NA,NA,NA
"Israel",1.66,NA,NA,NA
"Italy",1.1,NA,NA,NA
"Jamaica",1.1,NA,NA,NA
"Japan",1.7,NA,NA,NA
"Jordan",3.3,NA,NA,NA
"Kazakhstan",2.1,NA,NA,NA
"Kenya",1.35,NA,NA,NA
"Kiribati",1,NA,NA,NA
"Korea, Dem. Rep.",3,NA,NA,NA
"Korea, Rep.",3.1,NA,NA,NA
"Kuwait",2.6,NA,NA,NA
"Kyrgyzstan",3.1,NA,NA,NA
"Laos",2,NA,NA,NA
"Latvia",3.4,NA,NA,NA
"Lebanon",3.4,NA,NA,NA
"Lesotho",0.4,NA,NA,NA
"Liberia",0.4,NA,NA,NA
"Libya",1.14,NA,NA,NA
"Liechtenstein",3.4,NA,NA,NA
"Lithuania",3.6,NA,NA,NA
"Luxembourg",3,NA,NA,NA
"Macao, China",1.8,NA,NA,NA
"Macedonia, FYR",3.03,NA,NA,NA
"Madagascar",3.1,NA,NA,NA
"Malawi",0.7,NA,NA,NA
"Malaysia",1.6,NA,NA,NA
"Maldives",2.1,NA,NA,NA
"Mali",2.2,NA,NA,NA
"Malta",1.6,NA,NA,NA
"Martinique",6.3,NA,NA,NA
"Mauritania",2,NA,NA,NA
"Mauritius",4.9,NA,NA,NA
"Mexico",2,NA,NA,NA
"Micronesia, Fed. Sts.",2.1,NA,NA,NA
"Moldova",2.3,NA,NA,NA
"Mongolia",1.9,NA,NA,NA
"Morocco",2.5,NA,NA,NA
"Mozambique",3.05,NA,NA,NA
"Myanmar",1.1,NA,NA,NA
"Namibia",1.2,NA,NA,NA
"Nepal",0.5,NA,NA,NA
"Netherlands",0.8,NA,NA,NA
"New Caledonia",4.4,NA,NA,NA
"New Zealand",1.6,NA,NA,NA
"Nicaragua",1.5,NA,NA,NA
"Niger",1.3,NA,NA,NA
"Nigeria",0.46,NA,NA,NA
"Niue",1.8,NA,NA,NA
"Norway",1.7,NA,NA,NA
"Oman",1.65,NA,NA,NA
"Pakistan",1.38,NA,NA,NA
"Panama",3.6,NA,NA,NA
"Papua New Guinea",1.7,NA,NA,NA
"Paraguay",3.8,NA,NA,NA
"Peru",2.9,NA,NA,NA
"Philippines",2.9,NA,NA,NA
"Poland",3.2,NA,NA,NA
"Portugal",1.5,NA,NA,NA
"Puerto Rico",3.8,NA,NA,NA
"Reunion",4.1,NA,NA,NA
"Romania",2.8,NA,NA,NA
"Russia",2.9,NA,NA,NA
"Rwanda",0.3,NA,NA,NA
"Saint Kitts and Nevis",5.5,NA,NA,NA
"Saint Lucia",6,NA,NA,NA
"Saint Vincent and the Grenadines",3.2,NA,NA,NA
"Samoa",2.5,NA,NA,NA
"San Marino",3.7,NA,NA,NA
"Saudi Arabia",5.9,NA,NA,NA
"Senegal",1.2,NA,NA,NA
"Serbia and Montenegro",5.35,NA,NA,NA
"Seychelles",1.5,NA,NA,NA
"Sierra Leone",1.3,NA,NA,NA
"Singapore",1,NA,NA,NA
"Slovak republic",4.3,NA,NA,NA
"Slovenia",1.8,NA,NA,NA
"Solomon Islands",2.7,NA,NA,NA
"Somalia",1,NA,NA,NA
"South Africa",1.05,NA,NA,NA
"Spain",1.12,NA,NA,NA
"Sri Lanka",1.4,NA,NA,NA
"Sudan",1.4,NA,NA,NA
"Suriname",1.9,NA,NA,NA
"Swaziland",0.9,NA,NA,NA
"Sweden",1,NA,NA,NA
"Switzerland",0.86,NA,NA,NA
"Syria",2.3,NA,NA,NA
"Tajikistan",1.2,NA,NA,NA
"Tanzania",0.3,NA,NA,NA
"Thailand",1.6,NA,NA,NA
"Togo",0.3,NA,NA,NA
"Tokelau",4.8,NA,NA,NA
"Tonga",3.1,NA,NA,NA
"Trinidad and Tobago",0.6,NA,NA,NA
"Tunisia",1.3,NA,NA,NA
"Turkey",2.7,NA,NA,NA
"Turkmenistan",2.6,NA,NA,NA
"Tuvalu",2,NA,NA,NA
"Uganda",0.9,NA,NA,NA
"Ukraine",4.4,NA,NA,NA
"United Arab Emirates",1.6,NA,NA,NA
"United Kingdom",0.7,NA,NA,NA
"United States",1.19,NA,NA,NA
"Uruguay",2.5,NA,NA,NA
"Uzbekistan",1.4,NA,NA,NA
"Vanuatu",1.2,NA,NA,NA
"Venezuela",2.1,NA,NA,NA
"Vietnam",1.9,NA,NA,NA
"Yemen, Rep.",3.1,NA,NA,NA
"Zambia",2.3,NA,NA,NA
"Zimbabwe",1.3,NA,NA,NA
NA,NA,NA,NA,NA
