"NA.","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","NA..1"
"East Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador",71.23,76.71,76.71,79.45,82.19,84.93,82.19,84.93,87.67,90.41,93.15,106.85,104.11,106.85,112.33,112.33,117.81,123.29,128.77,128.77,106.85,104.11,104.11,98.63,98.63,104.11,84.93,82.19,93.15,90.41,93.15,90.41,95.89,98.63,104.11,98.63,73.97,123.29,128.77,134.25,139.73,131.51,101.37,101.37,NA
"Egypt",32.88,35.62,35.62,38.36,38.36,41.1,38.36,41.1,41.1,41.1,43.84,43.84,46.58,46.58,52.06,52.06,57.53,60.27,68.49,71.23,76.71,84.93,87.67,90.41,87.67,87.67,84.93,84.93,84.93,84.93,84.93,84.93,79.45,76.71,76.71,76.71,79.45,82.19,87.67,84.93,84.93,76.71,76.71,76.71,NA
"El Salvador",63.01,60.27,68.49,60.27,76.71,71.23,76.71,73.97,73.97,71.23,76.71,79.45,82.19,82.19,87.67,98.63,95.89,101.37,95.89,101.37,98.63,104.11,104.11,98.63,101.37,98.63,101.37,109.59,104.11,101.37,106.85,104.11,104.11,93.15,98.63,106.85,115.07,115.07,112.33,109.59,106.85,98.63,93.15,93.15,NA
"Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.74,8.22,10.96,10.96,10.96,10.96,5.48,5.48,5.48,13.7,13.7,NA
"Eritrea and Ethiopia",5.48,5.48,5.48,5.48,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,10.96,8.22,8.22,8.22,8.22,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,8.22,8.22,8.22,8.22,8.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.06,57.53,76.71,65.75,90.41,101.37,98.63,136.99,147.95,150.69,153.43,167.12,167.12,NA
"Ethiopia",5.48,5.48,5.48,5.48,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,10.96,8.22,8.22,8.22,8.22,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,NA
"Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Falkland Islands (Malvinas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiji",79.45,79.45,79.45,79.45,79.45,82.19,82.19,84.93,84.93,84.93,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,90.41,87.67,87.67,87.67,87.67,87.67,90.41,90.41,90.41,87.67,54.8,52.06,52.06,54.8,52.06,49.32,46.58,46.58,49.32,60.27,73.97,76.71,98.63,109.59,120.55,120.55,NA
"Finland",123.29,112.33,87.67,115.07,117.81,126.03,123.29,126.03,134.25,136.99,134.25,134.25,139.73,131.51,120.55,120.55,112.33,104.11,90.41,104.11,98.63,98.63,101.37,95.89,98.63,90.41,95.89,104.11,109.59,115.07,109.59,117.81,117.81,109.59,109.59,101.37,104.11,98.63,98.63,104.11,93.15,93.15,93.15,93.15,NA
"France",82.19,87.67,90.41,95.89,90.41,93.15,106.85,90.41,104.11,106.85,115.07,106.85,120.55,115.07,106.85,106.85,104.11,106.85,95.89,90.41,95.89,90.41,95.89,95.89,93.15,93.15,101.37,98.63,95.89,98.63,98.63,101.37,98.63,98.63,101.37,104.11,106.85,109.59,109.59,106.85,109.59,112.33,109.59,109.59,NA
"French Guiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Polynesia",93.15,95.89,98.63,95.89,82.19,73.97,84.93,84.93,95.89,98.63,79.45,95.89,90.41,104.11,101.37,98.63,101.37,82.19,71.23,76.71,71.23,82.19,84.93,79.45,79.45,76.71,87.67,84.93,87.67,73.97,79.45,82.19,73.97,76.71,76.71,84.93,95.89,79.45,79.45,76.71,68.49,65.75,65.75,65.75,NA
"Gabon",5.48,5.48,5.48,8.22,8.22,10.96,10.96,10.96,13.7,10.96,10.96,13.7,10.96,21.92,49.32,46.58,54.8,52.06,57.53,57.53,71.23,63.01,60.27,71.23,57.53,63.01,60.27,57.53,57.53,49.32,38.36,38.36,43.84,41.1,41.1,43.84,43.84,46.58,46.58,46.58,46.58,46.58,46.58,46.58,NA
"Gambia",30.14,30.14,16.44,8.22,38.36,27.4,49.32,52.06,49.32,41.1,49.32,16.44,19.18,19.18,2.74,19.18,35.62,38.36,46.58,46.58,52.06,52.06,65.75,87.67,76.71,117.81,131.51,120.55,123.29,123.29,123.29,98.63,98.63,95.89,98.63,93.15,90.41,87.67,82.19,84.93,65.75,71.23,73.97,73.97,NA
"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,30.14,16.44,35.62,63.01,79.45,73.97,73.97,82.19,79.45,82.19,90.41,90.41,NA
"Germany",93.15,93.15,93.15,98.63,93.15,98.63,95.89,101.37,101.37,106.85,106.85,109.59,115.07,115.07,109.59,117.81,109.59,115.07,117.81,117.81,120.55,120.55,120.55,115.07,120.55,123.29,117.81,120.55,115.07,95.89,120.55,126.03,117.81,112.33,120.55,109.59,115.07,112.33,112.33,115.07,126.03,126.03,123.29,123.29,NA
"Ghana",24.66,24.66,13.7,13.7,21.92,21.92,19.18,24.66,24.66,24.66,24.66,24.66,24.66,19.18,16.44,13.7,8.22,8.22,2.74,2.74,0,2.74,2.74,5.48,5.48,5.48,19.18,19.18,16.44,13.7,13.7,21.92,19.18,13.7,19.18,10.96,5.48,10.96,13.7,19.18,16.44,19.18,19.18,19.18,NA
"Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greece",41.1,41.1,38.36,41.1,49.32,54.8,57.53,57.53,52.06,60.27,65.75,65.75,79.45,82.19,76.71,84.93,84.93,87.67,93.15,71.23,87.67,87.67,87.67,90.41,93.15,93.15,95.89,93.15,98.63,84.93,82.19,87.67,84.93,87.67,87.67,84.93,73.97,87.67,87.67,90.41,93.15,93.15,95.89,95.89,NA
"Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grenada",76.71,93.15,93.15,106.85,109.59,104.11,104.11,106.85,106.85,106.85,106.85,109.59,104.11,76.71,68.49,71.23,71.23,76.71,82.19,84.93,87.67,115.07,112.33,115.07,104.11,112.33,123.29,128.77,131.51,134.25,131.51,131.51,136.99,134.25,131.51,136.99,128.77,123.29,120.55,123.29,123.29,128.77,153.43,153.43,NA
"Guadeloupe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala",60.27,65.75,63.01,65.75,73.97,76.71,76.71,79.45,76.71,79.45,76.71,82.19,84.93,84.93,93.15,93.15,98.63,95.89,95.89,106.85,104.11,104.11,95.89,101.37,104.11,109.59,109.59,104.11,106.85,117.81,117.81,117.81,117.81,123.29,123.29,112.33,109.59,112.33,117.81,117.81,112.33,112.33,109.59,109.59,NA
"Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea",8.22,10.96,8.22,5.48,10.96,10.96,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,10.96,16.44,13.7,13.7,10.96,13.7,19.18,24.66,30.14,30.14,19.18,24.66,21.92,24.66,27.4,27.4,27.4,30.14,30.14,32.88,32.88,32.88,32.88,32.88,24.66,27.4,27.4,NA
"Guinea-Bissau",2.74,2.74,5.48,8.22,8.22,8.22,8.22,8.22,10.96,10.96,13.7,13.7,13.7,8.22,8.22,8.22,5.48,8.22,2.74,8.22,8.22,8.22,8.22,5.48,8.22,2.74,5.48,8.22,10.96,5.48,5.48,0,2.74,8.22,5.48,10.96,13.7,8.22,10.96,10.96,16.44,10.96,16.44,16.44,NA
"Guyana",106.85,106.85,106.85,109.59,109.59,101.37,101.37,104.11,106.85,109.59,109.59,120.55,131.51,123.29,112.33,136.99,131.51,131.51,120.55,120.55,134.25,134.25,150.69,134.25,115.07,126.03,164.38,147.95,128.77,112.33,87.67,71.23,84.93,82.19,101.37,101.37,112.33,93.15,90.41,90.41,104.11,98.63,98.63,98.63,NA
"Haiti",65.75,65.75,65.75,68.49,65.75,63.01,63.01,63.01,63.01,65.75,65.75,65.75,68.49,68.49,68.49,71.23,68.49,71.23,73.97,71.23,68.49,65.75,71.23,57.53,52.06,46.58,43.84,41.1,43.84,43.84,52.06,52.06,46.58,43.84,57.53,52.06,52.06,54.8,68.49,63.01,65.75,73.97,65.75,65.75,NA
"Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras",71.23,71.23,71.23,68.49,73.97,71.23,73.97,73.97,84.93,76.71,79.45,79.45,87.67,84.93,82.19,87.67,87.67,93.15,93.15,90.41,93.15,82.19,87.67,84.93,82.19,82.19,79.45,95.89,98.63,106.85,95.89,98.63,104.11,104.11,106.85,106.85,106.85,106.85,106.85,104.11,101.37,101.37,109.59,109.59,NA
"Hong Kong, China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",82.19,82.19,84.93,87.67,87.67,93.15,95.89,93.15,101.37,98.63,101.37,104.11,109.59,112.33,117.81,93.15,104.11,109.59,106.85,120.55,109.59,126.03,115.07,112.33,117.81,120.55,134.25,112.33,128.77,126.03,117.81,136.99,128.77,123.29,134.25,142.47,147.95,156.16,142.47,126.03,126.03,123.29,123.29,123.29,NA
"Iceland",161.64,164.38,169.86,164.38,164.38,183.56,169.86,164.38,156.16,153.43,145.21,134.25,139.73,134.25,123.29,139.73,164.38,167.12,169.86,150.69,156.16,147.95,153.43,150.69,147.95,150.69,158.9,161.64,156.16,150.69,156.16,153.43,153.43,161.64,164.38,158.9,164.38,164.38,156.16,156.16,150.69,153.43,153.43,153.43,NA
"India",52.06,49.32,49.32,49.32,52.06,52.06,43.84,41.1,49.32,52.06,54.8,49.32,46.58,52.06,49.32,49.32,52.06,57.53,54.8,52.06,52.06,52.06,54.8,65.75,63.01,57.53,54.8,54.8,63.01,60.27,60.27,63.01,65.75,63.01,63.01,60.27,65.75,68.49,68.49,65.75,65.75,65.75,65.75,65.75,NA
"Indonesia",27.4,30.14,27.4,30.14,30.14,24.66,30.14,30.14,30.14,30.14,32.88,30.14,27.4,32.88,32.88,32.88,35.62,35.62,35.62,35.62,43.84,41.1,41.1,38.36,38.36,38.36,38.36,38.36,35.62,35.62,38.36,38.36,38.36,41.1,41.1,41.1,43.84,43.84,41.1,43.84,43.84,43.84,43.84,43.84,NA
"Iran",63.01,63.01,63.01,65.75,68.49,73.97,68.49,68.49,65.75,65.75,65.75,68.49,73.97,73.97,84.93,87.67,84.93,84.93,84.93,79.45,73.97,63.01,60.27,73.97,73.97,71.23,68.49,63.01,68.49,68.49,71.23,73.97,73.97,73.97,73.97,73.97,73.97,73.97,73.97,71.23,71.23,71.23,71.23,71.23,NA
"Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",145.21,136.99,142.47,142.47,145.21,145.21,150.69,153.43,150.69,150.69,153.43,136.99,153.43,145.21,150.69,139.73,142.47,150.69,139.73,134.25,123.29,126.03,120.55,126.03,126.03,123.29,106.85,106.85,109.59,128.77,117.81,128.77,134.25,134.25,123.29,109.59,109.59,104.11,109.59,115.07,115.07,115.07,115.07,115.07,NA
"Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Israel",95.89,95.89,95.89,98.63,104.11,101.37,101.37,104.11,106.85,112.33,109.59,109.59,109.59,104.11,101.37,95.89,98.63,98.63,98.63,98.63,95.89,95.89,98.63,104.11,106.85,109.59,112.33,109.59,115.07,115.07,117.81,117.81,115.07,117.81,123.29,134.25,139.73,139.73,142.47,142.47,117.81,120.55,104.11,104.11,NA
"Italy",65.75,68.49,71.23,73.97,73.97,73.97,76.71,76.71,82.19,82.19,82.19,87.67,95.89,95.89,79.45,87.67,84.93,87.67,90.41,93.15,93.15,84.93,82.19,82.19,76.71,76.71,76.71,76.71,79.45,82.19,84.93,82.19,82.19,79.45,82.19,82.19,84.93,87.67,79.45,82.19,84.93,84.93,84.93,84.93,NA
"Jamaica",106.85,109.59,109.59,115.07,117.81,123.29,128.77,134.25,142.47,126.03,134.25,136.99,136.99,134.25,139.73,145.21,150.69,147.95,131.51,150.69,128.77,117.81,120.55,123.29,117.81,123.29,131.51,139.73,153.43,139.73,139.73,136.99,142.47,142.47,106.85,136.99,128.77,134.25,136.99,158.9,156.16,150.69,147.95,147.95,NA
"Japan",46.58,52.06,49.32,54.8,60.27,63.01,71.23,76.71,82.19,93.15,87.67,87.67,79.45,82.19,73.97,76.71,82.19,87.67,93.15,90.41,76.71,90.41,87.67,87.67,90.41,90.41,90.41,93.15,93.15,90.41,87.67,87.67,84.93,84.93,84.93,82.19,82.19,82.19,79.45,76.71,79.45,79.45,76.71,76.71,NA
"Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",71.23,82.19,73.97,57.53,82.19,87.67,90.41,73.97,73.97,73.97,73.97,73.97,60.27,73.97,65.75,104.11,109.59,112.33,131.51,126.03,134.25,117.81,109.59,109.59,115.07,117.81,120.55,117.81,120.55,117.81,117.81,115.07,112.33,109.59,93.15,95.89,90.41,87.67,90.41,90.41,90.41,98.63,98.63,98.63,NA
"Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.27,54.8,57.53,57.53,52.06,52.06,54.8,57.53,60.27,68.49,63.01,71.23,71.23,NA
"Kenya",35.62,35.62,35.62,35.62,35.62,38.36,38.36,38.36,41.1,43.84,49.32,49.32,52.06,52.06,43.84,35.62,43.84,46.58,49.32,54.8,65.75,60.27,54.8,65.75,68.49,73.97,63.01,57.53,63.01,57.53,54.8,52.06,46.58,49.32,49.32,43.84,41.1,49.32,49.32,57.53,54.8,54.8,54.8,54.8,NA
"Kiribati",43.84,63.01,52.06,49.32,54.8,54.8,65.75,76.71,84.93,84.93,76.71,84.93,65.75,71.23,93.15,46.58,63.01,73.97,95.89,84.93,79.45,90.41,68.49,65.75,84.93,82.19,79.45,82.19,76.71,79.45,98.63,93.15,95.89,93.15,93.15,95.89,106.85,109.59,115.07,112.33,115.07,123.29,126.03,126.03,NA
"Korea, Dem. Rep.",2.74,2.74,2.74,2.74,2.74,2.74,16.44,24.66,30.14,32.88,32.88,30.14,27.4,21.92,19.18,19.18,21.92,21.92,16.44,16.44,16.44,16.44,16.44,13.7,13.7,13.7,13.7,10.96,10.96,10.96,10.96,10.96,13.7,8.22,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,8.22,8.22,NA
"Korea, Rep.",2.74,2.74,2.74,2.74,2.74,5.48,8.22,13.7,16.44,19.18,21.92,21.92,24.66,21.92,19.18,24.66,30.14,38.36,43.84,41.1,35.62,41.1,46.58,54.8,57.53,65.75,68.49,79.45,84.93,87.67,90.41,90.41,84.93,82.19,84.93,84.93,90.41,79.45,87.67,93.15,95.89,101.37,98.63,98.63,NA
"Korea, United",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kuwait",90.41,90.41,90.41,84.93,87.67,98.63,82.19,93.15,98.63,101.37,106.85,112.33,109.59,117.81,117.81,120.55,128.77,128.77,126.03,120.55,126.03,134.25,123.29,115.07,112.33,112.33,109.59,98.63,98.63,68.49,63.01,93.15,98.63,101.37,104.11,104.11,104.11,101.37,95.89,95.89,82.19,95.89,101.37,101.37,NA
"Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.23,41.1,46.58,41.1,43.84,49.32,76.71,73.97,35.62,32.88,38.36,38.36,38.36,NA
"Laos",0,2.74,0,0,2.74,0,2.74,2.74,2.74,2.74,2.74,2.74,0,0,2.74,2.74,2.74,2.74,2.74,0,2.74,0,0,0,0,0,0,2.74,5.48,5.48,5.48,5.48,5.48,8.22,10.96,8.22,8.22,10.96,10.96,10.96,10.96,10.96,10.96,10.96,NA
"Latvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.63,109.59,109.59,79.45,101.37,104.11,101.37,98.63,95.89,90.41,90.41,93.15,93.15,NA
"Lebanon",54.8,68.49,65.75,65.75,71.23,71.23,73.97,79.45,82.19,79.45,76.71,76.71,82.19,82.19,82.19,84.93,93.15,101.37,101.37,93.15,84.93,73.97,84.93,90.41,90.41,87.67,90.41,101.37,104.11,101.37,93.15,95.89,93.15,90.41,93.15,95.89,95.89,87.67,82.19,87.67,90.41,93.15,93.15,93.15,NA
"Lesotho",30.14,32.88,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,52.06,57.53,57.53,63.01,54.8,54.8,57.53,60.27,52.06,52.06,38.36,41.1,43.84,43.84,43.84,46.58,46.58,46.58,46.58,46.58,43.84,43.84,43.84,43.84,43.84,41.1,41.1,41.1,41.1,41.1,NA
"Liberia",2.74,5.48,5.48,5.48,8.22,8.22,8.22,8.22,8.22,10.96,10.96,10.96,13.7,10.96,5.48,13.7,16.44,16.44,16.44,13.7,13.7,13.7,19.18,16.44,13.7,19.18,19.18,21.92,16.44,10.96,10.96,10.96,13.7,13.7,13.7,10.96,10.96,13.7,10.96,10.96,13.7,13.7,10.96,10.96,NA
"Libya",60.27,60.27,60.27,60.27,57.53,60.27,60.27,68.49,79.45,84.93,87.67,95.89,104.11,109.59,117.81,126.03,123.29,117.81,112.33,101.37,101.37,101.37,101.37,104.11,106.85,126.03,117.81,98.63,87.67,90.41,90.41,87.67,84.93,84.93,87.67,93.15,104.11,104.11,104.11,101.37,98.63,104.11,90.41,90.41,NA
"Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.41,79.45,79.45,68.49,73.97,93.15,104.11,95.89,98.63,117.81,109.59,106.85,106.85,NA
