"NA.","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","NA..1"
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macao, China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia, FYR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.27,65.75,95.89,93.15,95.89,87.67,73.97,101.37,95.89,106.85,120.55,95.89,95.89,NA
"Madagascar",27.4,24.66,24.66,27.4,24.66,24.66,21.92,24.66,24.66,27.4,32.88,32.88,32.88,35.62,38.36,38.36,38.36,35.62,32.88,30.14,30.14,27.4,24.66,21.92,24.66,24.66,24.66,21.92,21.92,19.18,19.18,19.18,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,16.44,13.7,21.92,21.92,NA
"Malawi",5.48,8.22,8.22,10.96,10.96,10.96,10.96,13.7,13.7,16.44,19.18,16.44,16.44,16.44,16.44,19.18,16.44,16.44,19.18,21.92,21.92,21.92,21.92,21.92,24.66,24.66,27.4,32.88,30.14,35.62,38.36,38.36,32.88,41.1,43.84,43.84,43.84,38.36,32.88,41.1,30.14,32.88,24.66,24.66,NA
"Malaysia",84.93,71.23,63.01,76.71,76.71,82.19,76.71,95.89,93.15,101.37,73.97,87.67,84.93,87.67,82.19,79.45,101.37,93.15,98.63,104.11,87.67,87.67,104.11,95.89,101.37,104.11,90.41,109.59,98.63,101.37,106.85,106.85,112.33,120.55,128.77,136.99,128.77,117.81,115.07,115.07,115.07,112.33,112.33,112.33,NA
"Maldives",87.67,84.93,87.67,79.45,76.71,73.97,71.23,68.49,79.45,76.71,79.45,79.45,71.23,79.45,73.97,65.75,63.01,68.49,71.23,76.71,79.45,76.71,76.71,79.45,79.45,93.15,93.15,87.67,101.37,112.33,112.33,106.85,126.03,131.51,106.85,98.63,106.85,87.67,84.93,93.15,90.41,90.41,76.71,76.71,NA
"Mali",8.22,16.44,8.22,8.22,16.44,10.96,8.22,16.44,8.22,19.18,16.44,13.7,16.44,13.7,10.96,16.44,8.22,8.22,10.96,16.44,10.96,8.22,5.48,10.96,10.96,16.44,13.7,13.7,21.92,21.92,27.4,21.92,19.18,27.4,21.92,32.88,24.66,32.88,30.14,30.14,27.4,30.14,30.14,30.14,NA
"Malta",109.59,109.59,117.81,131.51,136.99,136.99,142.47,142.47,139.73,136.99,139.73,136.99,142.47,139.73,136.99,145.21,142.47,153.43,145.21,145.21,139.73,145.21,147.95,136.99,142.47,139.73,147.95,145.21,145.21,142.47,134.25,136.99,136.99,139.73,145.21,139.73,147.95,145.21,142.47,139.73,153.43,134.25,131.51,131.51,NA
"Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martinique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mauritania",46.58,46.58,46.58,49.32,57.53,57.53,60.27,54.8,52.06,43.84,41.1,41.1,43.84,46.58,38.36,46.58,46.58,49.32,49.32,46.58,46.58,52.06,60.27,60.27,60.27,63.01,63.01,73.97,76.71,73.97,76.71,63.01,71.23,65.75,87.67,79.45,82.19,87.67,90.41,120.55,126.03,101.37,109.59,109.59,NA
"Mauritius",115.07,117.81,115.07,115.07,115.07,109.59,109.59,109.59,112.33,112.33,115.07,112.33,117.81,109.59,120.55,112.33,117.81,123.29,115.07,123.29,128.77,120.55,120.55,131.51,131.51,147.95,131.51,145.21,145.21,139.73,131.51,131.51,128.77,128.77,115.07,115.07,115.07,115.07,115.07,115.07,106.85,109.59,117.81,117.81,NA
"Mayotte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico",71.23,73.97,73.97,79.45,79.45,82.19,87.67,93.15,98.63,104.11,95.89,101.37,109.59,109.59,123.29,117.81,115.07,123.29,126.03,128.77,128.77,123.29,112.33,128.77,126.03,128.77,123.29,123.29,134.25,145.21,134.25,136.99,139.73,136.99,134.25,136.99,128.77,134.25,131.51,134.25,131.51,134.25,131.51,131.51,NA
"Micronesia, Fed. Sts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.89,93.15,71.23,65.75,71.23,65.75,65.75,65.75,68.49,73.97,76.71,82.19,82.19,NA
"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mongolia",5.48,10.96,27.4,52.06,52.06,52.06,49.32,46.58,43.84,32.88,35.62,41.1,46.58,38.36,38.36,38.36,52.06,54.8,54.8,63.01,57.53,60.27,54.8,54.8,52.06,63.01,57.53,60.27,60.27,63.01,46.58,27.4,32.88,30.14,24.66,24.66,27.4,27.4,24.66,30.14,32.88,32.88,32.88,32.88,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montserrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morocco",79.45,84.93,79.45,79.45,73.97,73.97,73.97,71.23,73.97,76.71,76.71,76.71,76.71,79.45,82.19,87.67,90.41,95.89,98.63,95.89,93.15,90.41,93.15,87.67,84.93,84.93,84.93,90.41,84.93,84.93,84.93,90.41,95.89,95.89,93.15,90.41,95.89,98.63,87.67,101.37,90.41,93.15,98.63,98.63,NA
"Mozambique",16.44,16.44,19.18,19.18,19.18,19.18,21.92,21.92,24.66,24.66,30.14,30.14,32.88,32.88,32.88,32.88,32.88,32.88,32.88,30.14,30.14,27.4,16.44,16.44,5.48,8.22,10.96,10.96,8.22,5.48,5.48,2.74,10.96,10.96,10.96,10.96,8.22,8.22,10.96,38.36,38.36,30.14,19.18,19.18,NA
"Myanmar",13.7,13.7,16.44,16.44,16.44,19.18,16.44,16.44,13.7,13.7,13.7,13.7,19.18,13.7,10.96,13.7,13.7,13.7,13.7,10.96,13.7,19.18,27.4,27.4,24.66,27.4,21.92,24.66,16.44,13.7,13.7,13.7,21.92,13.7,19.18,24.66,30.14,30.14,32.88,35.62,38.36,32.88,35.62,35.62,NA
"Namibia",73.97,76.71,79.45,82.19,82.19,84.93,87.67,87.67,90.41,84.93,84.93,87.67,87.67,84.93,84.93,87.67,87.67,90.41,90.41,93.15,93.15,93.15,95.89,95.89,95.89,93.15,93.15,90.41,90.41,90.41,93.15,93.15,93.15,95.89,93.15,82.19,76.71,68.49,65.75,63.01,63.01,65.75,84.93,84.93,NA
"Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nepal",0,0,2.74,2.74,2.74,2.74,0,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,5.48,5.48,0,5.48,5.48,2.74,5.48,5.48,10.96,5.48,8.22,8.22,8.22,8.22,8.22,10.96,5.48,8.22,8.22,10.96,10.96,16.44,13.7,10.96,10.96,10.96,10.96,NA
"Netherlands",126.03,131.51,134.25,128.77,136.99,136.99,131.51,131.51,131.51,134.25,134.25,134.25,134.25,131.51,126.03,126.03,128.77,117.81,117.81,123.29,109.59,117.81,117.81,98.63,112.33,112.33,115.07,134.25,142.47,153.43,161.64,153.43,147.95,134.25,131.51,126.03,126.03,126.03,123.29,123.29,126.03,134.25,142.47,142.47,NA
"Netherlands Antilles",93.15,93.15,90.41,95.89,95.89,93.15,93.15,93.15,93.15,98.63,104.11,109.59,109.59,106.85,104.11,115.07,117.81,120.55,123.29,126.03,126.03,115.07,104.11,90.41,82.19,76.71,71.23,71.23,71.23,73.97,65.75,63.01,63.01,71.23,73.97,104.11,109.59,109.59,112.33,115.07,115.07,120.55,120.55,120.55,NA
"New Caledonia",84.93,76.71,87.67,84.93,84.93,87.67,98.63,93.15,106.85,106.85,115.07,90.41,93.15,95.89,87.67,90.41,90.41,90.41,101.37,98.63,90.41,98.63,93.15,73.97,90.41,90.41,93.15,90.41,79.45,101.37,98.63,76.71,60.27,68.49,76.71,65.75,60.27,63.01,57.53,63.01,60.27,63.01,63.01,63.01,NA
"New Zealand",134.25,136.99,134.25,120.55,134.25,136.99,134.25,126.03,134.25,134.25,131.51,131.51,131.51,139.73,120.55,134.25,126.03,139.73,136.99,126.03,126.03,134.25,120.55,128.77,128.77,145.21,153.43,145.21,142.47,142.47,142.47,142.47,136.99,145.21,128.77,139.73,153.43,153.43,158.9,158.9,161.64,161.64,164.38,164.38,NA
"Ngorno-Karabakh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicaragua",109.59,117.81,120.55,115.07,106.85,98.63,95.89,106.85,95.89,93.15,98.63,104.11,109.59,109.59,112.33,123.29,126.03,120.55,115.07,120.55,117.81,131.51,128.77,128.77,128.77,128.77,120.55,104.11,112.33,109.59,98.63,95.89,93.15,90.41,95.89,101.37,109.59,104.11,104.11,101.37,98.63,101.37,98.63,98.63,NA
"Niger",5.48,8.22,5.48,8.22,8.22,5.48,5.48,5.48,5.48,5.48,5.48,8.22,8.22,8.22,8.22,8.22,8.22,8.22,10.96,10.96,10.96,13.7,16.44,19.18,19.18,19.18,19.18,16.44,16.44,13.7,10.96,10.96,8.22,8.22,16.44,16.44,16.44,19.18,16.44,16.44,13.7,13.7,16.44,16.44,NA
"Nigeria",2.74,5.48,2.74,2.74,5.48,5.48,5.48,2.74,5.48,5.48,10.96,8.22,8.22,5.48,8.22,13.7,21.92,27.4,27.4,32.88,35.62,30.14,30.14,19.18,16.44,19.18,24.66,13.7,13.7,13.7,16.44,16.44,19.18,13.7,21.92,16.44,19.18,27.4,21.92,19.18,30.14,30.14,30.14,30.14,NA
"Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norfolk Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Mariana Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway",123.29,126.03,123.29,123.29,131.51,128.77,131.51,134.25,117.81,120.55,120.55,120.55,112.33,93.15,76.71,109.59,112.33,117.81,120.55,115.07,112.33,106.85,104.11,112.33,115.07,112.33,112.33,101.37,109.59,112.33,112.33,117.81,117.81,120.55,120.55,117.81,126.03,123.29,126.03,126.03,120.55,120.55,120.55,120.55,NA
"Oman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pakistan",52.06,60.27,76.71,65.75,73.97,82.19,84.93,79.45,87.67,87.67,79.45,76.71,73.97,76.71,73.97,76.71,90.41,87.67,87.67,84.93,87.67,84.93,79.45,82.19,76.71,82.19,90.41,73.97,82.19,76.71,76.71,79.45,73.97,68.49,82.19,84.93,82.19,71.23,71.23,84.93,79.45,76.71,73.97,73.97,NA
"Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panama",79.45,65.75,82.19,82.19,93.15,73.97,76.71,82.19,79.45,79.45,87.67,95.89,98.63,93.15,79.45,84.93,93.15,95.89,95.89,104.11,109.59,106.85,104.11,104.11,106.85,101.37,98.63,98.63,93.15,87.67,95.89,87.67,93.15,98.63,79.45,79.45,84.93,90.41,82.19,76.71,82.19,87.67,87.67,87.67,NA
"Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paraguay",38.36,41.1,43.84,52.06,54.8,60.27,43.84,49.32,52.06,57.53,54.8,57.53,60.27,57.53,52.06,57.53,60.27,60.27,57.53,60.27,60.27,63.01,63.01,60.27,65.75,79.45,63.01,65.75,63.01,60.27,60.27,60.27,65.75,68.49,68.49,65.75,65.75,65.75,71.23,65.75,65.75,65.75,63.01,63.01,NA
"Peru",76.71,79.45,82.19,79.45,87.67,82.19,79.45,79.45,79.45,84.93,87.67,95.89,95.89,98.63,101.37,106.85,95.89,95.89,93.15,73.97,98.63,65.75,87.67,71.23,90.41,101.37,101.37,104.11,90.41,87.67,73.97,73.97,76.71,76.71,98.63,98.63,101.37,106.85,98.63,101.37,101.37,104.11,104.11,104.11,NA
"Philippines",35.62,35.62,41.1,41.1,43.84,46.58,52.06,54.8,52.06,46.58,49.32,52.06,54.8,63.01,57.53,54.8,63.01,68.49,68.49,68.49,63.01,57.53,63.01,65.75,68.49,57.53,71.23,60.27,71.23,73.97,71.23,73.97,76.71,79.45,76.71,84.93,76.71,76.71,79.45,76.71,76.71,76.71,76.71,76.71,NA
"Pitcairn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poland",87.67,87.67,93.15,90.41,93.15,98.63,101.37,106.85,112.33,112.33,115.07,117.81,120.55,126.03,126.03,126.03,120.55,123.29,126.03,123.29,98.63,123.29,134.25,134.25,123.29,120.55,136.99,136.99,139.73,131.51,104.11,106.85,123.29,115.07,112.33,115.07,117.81,117.81,117.81,123.29,123.29,123.29,123.29,123.29,NA
"Portugal",49.32,49.32,46.58,46.58,49.32,57.53,57.53,65.75,71.23,73.97,73.97,73.97,76.71,73.97,76.71,68.49,71.23,71.23,71.23,73.97,73.97,73.97,68.49,65.75,68.49,73.97,73.97,76.71,82.19,82.19,82.19,84.93,87.67,87.67,87.67,87.67,87.67,87.67,93.15,93.15,93.15,90.41,93.15,93.15,NA
"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Qatar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reunion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Romania",27.4,32.88,35.62,38.36,43.84,46.58,43.84,52.06,54.8,57.53,57.53,60.27,60.27,60.27,60.27,76.71,76.71,79.45,82.19,84.93,73.97,73.97,76.71,79.45,76.71,68.49,65.75,68.49,68.49,68.49,68.49,73.97,71.23,73.97,68.49,73.97,57.53,60.27,60.27,68.49,71.23,68.49,71.23,71.23,NA
"Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.41,95.89,95.89,98.63,101.37,101.37,106.85,109.59,112.33,117.81,120.55,120.55,120.55,NA
"Rwanda",0,0,0,0,0,0,0,2.74,2.74,0,0,0,0,0,0,0,0,0,2.74,2.74,2.74,2.74,2.74,5.48,2.74,2.74,2.74,5.48,5.48,2.74,2.74,2.74,5.48,2.74,2.74,5.48,8.22,8.22,5.48,2.74,8.22,5.48,5.48,5.48,NA
"Saint Barthélemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Helena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Kitts and Nevis",104.11,115.07,115.07,120.55,126.03,126.03,126.03,126.03,126.03,123.29,98.63,131.51,131.51,167.12,145.21,153.43,142.47,134.25,139.73,150.69,153.43,131.51,139.73,134.25,139.73,145.21,136.99,136.99,112.33,109.59,109.59,109.59,106.85,109.59,131.51,134.25,134.25,145.21,136.99,145.21,158.9,158.9,156.16,156.16,NA
"Saint Lucia",79.45,76.71,87.67,68.49,79.45,76.71,79.45,76.71,76.71,73.97,68.49,68.49,82.19,87.67,79.45,63.01,79.45,84.93,84.93,87.67,93.15,101.37,101.37,98.63,98.63,98.63,98.63,98.63,101.37,98.63,98.63,101.37,101.37,101.37,104.11,104.11,95.89,95.89,109.59,101.37,101.37,101.37,98.63,98.63,NA
"Saint Martin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Vincent and the Grenadines",84.93,98.63,87.67,104.11,101.37,101.37,104.11,104.11,106.85,112.33,117.81,115.07,106.85,87.67,123.29,128.77,112.33,104.11,106.85,109.59,112.33,115.07,115.07,115.07,112.33,115.07,115.07,112.33,112.33,112.33,115.07,117.81,115.07,112.33,112.33,112.33,115.07,115.07,115.07,117.81,120.55,120.55,120.55,120.55,NA
"Saint-Pierre-et-Miquelon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samoa",54.8,63.01,60.27,60.27,68.49,65.75,63.01,68.49,71.23,73.97,71.23,73.97,60.27,65.75,65.75,65.75,65.75,65.75,65.75,65.75,71.23,63.01,65.75,57.53,65.75,63.01,63.01,60.27,65.75,57.53,71.23,57.53,68.49,63.01,63.01,65.75,60.27,63.01,68.49,68.49,65.75,65.75,68.49,68.49,NA
"San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Tome and Principe",35.62,35.62,35.62,38.36,32.88,38.36,38.36,38.36,32.88,41.1,41.1,43.84,46.58,32.88,27.4,41.1,46.58,46.58,43.84,41.1,30.14,30.14,30.14,27.4,32.88,30.14,30.14,30.14,32.88,43.84,41.1,41.1,41.1,43.84,43.84,43.84,38.36,35.62,35.62,38.36,49.32,60.27,52.06,52.06,NA
"Saudi Arabia",16.44,16.44,27.4,27.4,30.14,32.88,32.88,35.62,41.1,43.84,46.58,57.53,49.32,54.8,52.06,49.32,57.53,60.27,65.75,126.03,117.81,106.85,87.67,84.93,76.71,71.23,73.97,73.97,73.97,71.23,71.23,73.97,73.97,71.23,73.97,73.97,76.71,76.71,71.23,71.23,73.97,76.71,73.97,73.97,NA
"Senegal",52.06,54.8,54.8,57.53,52.06,49.32,43.84,43.84,38.36,46.58,49.32,54.8,49.32,38.36,46.58,49.32,49.32,38.36,49.32,41.1,43.84,46.58,43.84,46.58,27.4,32.88,30.14,27.4,32.88,46.58,43.84,35.62,38.36,49.32,49.32,49.32,54.8,43.84,41.1,32.88,43.84,38.36,38.36,38.36,NA
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
