"NA.","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","NA..1"
"Serbia and Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.45,46.58,68.49,60.27,63.01,73.97,57.53,68.49,60.27,68.49,65.75,82.19,82.19,NA
"Serbia excluding Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seychelles",84.93,71.23,63.01,73.97,87.67,90.41,98.63,90.41,93.15,101.37,115.07,112.33,109.59,87.67,87.67,82.19,93.15,87.67,93.15,90.41,93.15,90.41,87.67,90.41,90.41,90.41,95.89,93.15,93.15,90.41,90.41,82.19,98.63,95.89,84.93,95.89,90.41,95.89,95.89,84.93,84.93,84.93,87.67,87.67,NA
"Sierra Leone",21.92,24.66,16.44,16.44,27.4,27.4,27.4,30.14,27.4,32.88,24.66,21.92,30.14,10.96,8.22,10.96,16.44,19.18,27.4,13.7,16.44,13.7,13.7,10.96,13.7,10.96,13.7,13.7,10.96,10.96,13.7,13.7,13.7,8.22,10.96,5.48,5.48,10.96,5.48,8.22,8.22,10.96,10.96,10.96,NA
"Singapore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovak Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.15,95.89,115.07,112.33,115.07,109.59,93.15,101.37,82.19,87.67,84.93,84.93,NA
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,54.8,46.58,52.06,52.06,57.53,57.53,49.32,49.32,41.1,41.1,41.1,41.1,NA
"Solomon Islands",16.44,16.44,13.7,16.44,16.44,19.18,19.18,21.92,21.92,19.18,24.66,21.92,21.92,21.92,13.7,16.44,21.92,21.92,27.4,21.92,21.92,19.18,24.66,30.14,21.92,27.4,27.4,24.66,21.92,24.66,16.44,19.18,21.92,24.66,16.44,21.92,21.92,19.18,21.92,16.44,16.44,16.44,19.18,19.18,NA
"Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Somaliland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa",106.85,106.85,115.07,117.81,112.33,106.85,101.37,104.11,104.11,106.85,106.85,109.59,115.07,120.55,126.03,126.03,112.33,109.59,109.59,109.59,109.59,106.85,104.11,106.85,109.59,106.85,104.11,104.11,101.37,98.63,95.89,95.89,93.15,93.15,90.41,90.41,90.41,90.41,90.41,87.67,87.67,87.67,90.41,90.41,NA
"South Ossetia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain",54.8,63.01,54.8,60.27,63.01,65.75,76.71,71.23,73.97,79.45,79.45,79.45,79.45,87.67,79.45,90.41,90.41,90.41,93.15,82.19,82.19,82.19,76.71,68.49,76.71,71.23,73.97,73.97,71.23,73.97,73.97,76.71,76.71,76.71,82.19,87.67,84.93,79.45,87.67,87.67,93.15,93.15,93.15,93.15,NA
"Sri Lanka",49.32,49.32,49.32,52.06,54.8,65.75,65.75,65.75,68.49,68.49,63.01,52.06,43.84,19.18,10.96,13.7,21.92,38.36,52.06,46.58,43.84,41.1,49.32,52.06,65.75,65.75,60.27,54.8,63.01,52.06,68.49,68.49,52.06,71.23,52.06,65.75,76.71,84.93,73.97,84.93,84.93,84.93,84.93,84.93,NA
"Sudan",32.88,32.88,32.88,32.88,35.62,35.62,38.36,38.36,41.1,46.58,49.32,49.32,49.32,49.32,43.84,46.58,49.32,49.32,52.06,57.53,52.06,57.53,57.53,54.8,54.8,57.53,57.53,54.8,52.06,49.32,46.58,41.1,41.1,41.1,38.36,38.36,32.88,38.36,38.36,46.58,49.32,54.8,57.53,57.53,NA
"Suriname",79.45,82.19,82.19,76.71,84.93,87.67,93.15,84.93,90.41,87.67,87.67,84.93,84.93,84.93,87.67,76.71,76.71,101.37,109.59,126.03,90.41,95.89,104.11,95.89,95.89,93.15,82.19,87.67,98.63,98.63,101.37,104.11,101.37,106.85,115.07,142.47,139.73,145.21,131.51,136.99,136.99,145.21,150.69,150.69,NA
"Svalbard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swaziland",76.71,76.71,79.45,76.71,82.19,84.93,93.15,73.97,76.71,82.19,82.19,79.45,84.93,87.67,101.37,98.63,112.33,126.03,104.11,115.07,131.51,147.95,142.47,139.73,139.73,142.47,136.99,134.25,131.51,142.47,142.47,139.73,136.99,139.73,128.77,128.77,112.33,120.55,147.95,139.73,139.73,128.77,136.99,136.99,NA
"Sweden",126.03,120.55,115.07,117.81,126.03,126.03,126.03,120.55,120.55,123.29,128.77,128.77,128.77,123.29,126.03,126.03,117.81,115.07,120.55,120.55,120.55,120.55,126.03,126.03,123.29,117.81,115.07,117.81,117.81,117.81,117.81,120.55,123.29,134.25,115.07,120.55,117.81,126.03,126.03,128.77,120.55,115.07,128.77,128.77,NA
"Switzerland",142.47,147.95,120.55,136.99,136.99,136.99,131.51,145.21,139.73,145.21,139.73,153.43,136.99,145.21,101.37,117.81,142.47,120.55,123.29,126.03,131.51,120.55,136.99,128.77,126.03,131.51,128.77,139.73,131.51,134.25,117.81,128.77,134.25,120.55,128.77,150.69,147.95,134.25,136.99,153.43,156.16,161.64,164.38,164.38,NA
"Syria",46.58,46.58,46.58,49.32,49.32,49.32,46.58,49.32,54.8,60.27,65.75,65.75,65.75,63.01,63.01,60.27,68.49,76.71,90.41,95.89,98.63,106.85,104.11,106.85,101.37,95.89,93.15,87.67,84.93,93.15,98.63,98.63,98.63,101.37,104.11,104.11,104.11,104.11,109.59,112.33,109.59,112.33,117.81,117.81,NA
"Taiwan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.14,27.4,30.14,35.62,38.36,41.1,41.1,41.1,41.1,38.36,43.84,41.1,41.1,NA
"Tanzania",16.44,19.18,16.44,16.44,19.18,19.18,19.18,19.18,19.18,21.92,27.4,27.4,27.4,21.92,16.44,16.44,16.44,21.92,16.44,16.44,16.44,16.44,16.44,16.44,16.44,16.44,10.96,10.96,10.96,10.96,16.44,16.44,13.7,13.7,16.44,19.18,19.18,16.44,19.18,19.18,19.18,19.18,19.18,19.18,NA
"Thailand",10.96,10.96,10.96,10.96,19.18,16.44,19.18,16.44,21.92,21.92,27.4,21.92,27.4,32.88,32.88,32.88,35.62,35.62,38.36,30.14,35.62,35.62,35.62,38.36,38.36,38.36,46.58,46.58,49.32,52.06,49.32,60.27,63.01,65.75,73.97,76.71,79.45,84.93,79.45,79.45,84.93,84.93,87.67,87.67,NA
"Timor-Leste",0,0,0,0,2.74,2.74,5.48,5.48,8.22,5.48,5.48,5.48,8.22,5.48,2.74,2.74,2.74,5.48,8.22,5.48,8.22,8.22,8.22,8.22,8.22,10.96,10.96,10.96,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,10.96,8.22,8.22,10.96,19.18,16.44,16.44,16.44,NA
"Togo",5.48,10.96,5.48,5.48,5.48,10.96,13.7,16.44,10.96,10.96,5.48,8.22,8.22,2.74,2.74,2.74,16.44,10.96,19.18,19.18,13.7,30.14,19.18,27.4,30.14,30.14,16.44,16.44,16.44,10.96,10.96,10.96,5.48,2.74,8.22,10.96,8.22,10.96,10.96,8.22,8.22,13.7,16.44,16.44,NA
"Tokelau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transnistria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trinidad and Tobago",101.37,106.85,112.33,104.11,112.33,123.29,120.55,120.55,115.07,112.33,117.81,112.33,126.03,123.29,117.81,123.29,120.55,123.29,136.99,156.16,150.69,136.99,139.73,142.47,134.25,145.21,150.69,153.43,139.73,145.21,139.73,128.77,131.51,142.47,153.43,161.64,172.6,161.64,158.9,172.6,175.34,153.43,156.16,156.16,NA
"Tunisia",60.27,60.27,60.27,60.27,46.58,43.84,54.8,54.8,49.32,54.8,57.53,65.75,54.8,68.49,60.27,65.75,71.23,68.49,68.49,71.23,73.97,71.23,71.23,71.23,68.49,68.49,71.23,73.97,73.97,76.71,76.71,84.93,82.19,79.45,79.45,82.19,82.19,82.19,82.19,76.71,79.45,87.67,95.89,95.89,NA
"Turkey",16.44,24.66,38.36,41.1,41.1,43.84,43.84,43.84,49.32,49.32,52.06,57.53,63.01,60.27,63.01,65.75,73.97,73.97,76.71,65.75,65.75,76.71,73.97,76.71,71.23,76.71,84.93,76.71,79.45,82.19,82.19,82.19,82.19,76.71,76.71,79.45,84.93,84.93,73.97,76.71,76.71,68.49,65.75,65.75,NA
"Turkmenistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.27,43.84,41.1,32.88,35.62,32.88,32.88,30.14,30.14,27.4,27.4,27.4,27.4,NA
"Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uganda",27.4,30.14,32.88,30.14,38.36,43.84,38.36,41.1,35.62,35.62,41.1,32.88,21.92,13.7,8.22,5.48,2.74,5.48,5.48,5.48,2.74,5.48,2.74,2.74,2.74,5.48,10.96,5.48,5.48,8.22,8.22,10.96,8.22,13.7,16.44,16.44,19.18,19.18,19.18,24.66,21.92,24.66,24.66,24.66,NA
"Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.47,123.29,104.11,101.37,104.11,98.63,101.37,104.11,117.81,128.77,120.55,120.55,120.55,NA
"United Arab Emirates",95.89,98.63,95.89,93.15,93.15,84.93,95.89,106.85,115.07,117.81,120.55,131.51,134.25,136.99,120.55,109.59,120.55,112.33,115.07,98.63,98.63,95.89,95.89,93.15,87.67,90.41,95.89,90.41,84.93,93.15,90.41,90.41,90.41,112.33,101.37,98.63,93.15,95.89,95.89,106.85,101.37,104.11,104.11,104.11,NA
"United Kingdom",142.47,123.29,136.99,131.51,142.47,139.73,142.47,134.25,134.25,136.99,134.25,123.29,139.73,115.07,126.03,126.03,131.51,115.07,117.81,117.81,120.55,128.77,120.55,117.81,109.59,112.33,112.33,112.33,115.07,115.07,112.33,109.59,98.63,106.85,104.11,106.85,106.85,101.37,109.59,101.37,112.33,112.33,112.33,112.33,NA
"United States",142.47,142.47,139.73,145.21,145.21,145.21,147.95,150.69,153.43,153.43,156.16,158.9,158.9,156.16,150.69,158.9,161.64,158.9,158.9,156.16,153.43,153.43,153.43,156.16,158.9,158.9,164.38,167.12,167.12,169.86,172.6,175.34,178.08,180.82,183.56,186.3,194.52,194.52,189.04,194.52,194.52,194.52,191.78,191.78,NA
"Uruguay",104.11,109.59,98.63,106.85,106.85,104.11,98.63,93.15,104.11,104.11,95.89,104.11,95.89,109.59,98.63,109.59,87.67,90.41,104.11,93.15,98.63,90.41,84.93,87.67,87.67,73.97,73.97,71.23,63.01,68.49,90.41,95.89,90.41,90.41,90.41,90.41,101.37,106.85,95.89,87.67,68.49,101.37,104.11,104.11,NA
"USSR",84.93,90.41,93.15,95.89,101.37,106.85,109.59,112.33,112.33,117.81,117.81,115.07,123.29,120.55,123.29,126.03,126.03,128.77,126.03,131.51,134.25,134.25,131.51,131.51,126.03,131.51,142.47,139.73,126.03,134.25,98.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.88,35.62,24.66,27.4,41.1,38.36,52.06,43.84,41.1,24.66,16.44,10.96,10.96,NA
"Wallis et Futuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vanuatu",35.62,43.84,32.88,32.88,38.36,35.62,43.84,43.84,46.58,46.58,52.06,43.84,46.58,43.84,30.14,30.14,30.14,57.53,49.32,35.62,30.14,27.4,35.62,35.62,41.1,32.88,27.4,35.62,27.4,24.66,24.66,30.14,24.66,27.4,27.4,41.1,38.36,38.36,38.36,38.36,35.62,38.36,38.36,38.36,NA
"Venezuela",98.63,95.89,98.63,101.37,104.11,101.37,101.37,101.37,106.85,106.85,112.33,109.59,117.81,117.81,117.81,120.55,123.29,126.03,134.25,123.29,126.03,109.59,115.07,112.33,109.59,115.07,115.07,123.29,98.63,104.11,95.89,106.85,104.11,106.85,109.59,109.59,104.11,101.37,101.37,101.37,101.37,90.41,98.63,98.63,NA
"West Bank and Gaza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.67,87.67,95.89,95.89,87.67,90.41,93.15,90.41,90.41,NA
"West Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vietnam",10.96,10.96,10.96,10.96,16.44,16.44,19.18,19.18,24.66,24.66,24.66,24.66,24.66,19.18,19.18,19.18,13.7,13.7,16.44,16.44,16.44,13.7,19.18,19.18,21.92,16.44,19.18,13.7,19.18,13.7,16.44,13.7,16.44,21.92,24.66,21.92,24.66,24.66,30.14,35.62,32.88,32.88,35.62,35.62,NA
"Virgin Islands (U.S.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen Arab Republic (Former)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen Democratic (Former)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen, Rep.",27.4,30.14,24.66,24.66,35.62,38.36,41.1,46.58,41.1,43.84,35.62,35.62,35.62,32.88,35.62,35.62,43.84,46.58,46.58,46.58,46.58,49.32,57.53,63.01,63.01,63.01,73.97,76.71,57.53,57.53,54.8,54.8,54.8,54.8,52.06,60.27,63.01,63.01,60.27,63.01,60.27,60.27,65.75,65.75,NA
"Yugoslavia",52.06,52.06,54.8,60.27,73.97,76.71,76.71,73.97,79.45,82.19,84.93,84.93,87.67,95.89,98.63,98.63,98.63,95.89,93.15,106.85,104.11,104.11,101.37,98.63,106.85,109.59,106.85,106.85,117.81,117.81,95.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zambia",16.44,13.7,13.7,16.44,16.44,16.44,24.66,30.14,32.88,35.62,41.1,38.36,41.1,38.36,41.1,38.36,38.36,35.62,41.1,49.32,49.32,49.32,46.58,46.58,43.84,41.1,46.58,43.84,43.84,43.84,41.1,41.1,41.1,35.62,38.36,30.14,38.36,30.14,27.4,41.1,38.36,32.88,46.58,46.58,NA
"Zimbabwe",27.4,32.88,35.62,32.88,38.36,41.1,46.58,43.84,46.58,46.58,49.32,43.84,52.06,52.06,54.8,54.8,49.32,43.84,49.32,46.58,54.8,63.01,65.75,63.01,65.75,65.75,60.27,60.27,60.27,60.27,60.27,57.53,54.8,60.27,63.01,60.27,73.97,73.97,71.23,76.71,87.67,95.89,104.11,104.11,NA
"Åland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
